Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
2 Create Account,Chrome 121.0.0.0,,,07-02-2024 15:44:24,07-02-2024 15:46:27,2m - 2.657s,FAILED
,,,,,,,
Test Cases/2 Create Account,Chrome 121.0.0.0,Pembuatan account user baru,,07-02-2024 15:45:18,07-02-2024 15:45:32,13.524s,FAILED
"openBrowser("""")",Chrome 121.0.0.0,,,07-02-2024 15:45:18,07-02-2024 15:45:19,0.952s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/"")",Chrome 121.0.0.0,,,07-02-2024 15:45:19,07-02-2024 15:45:22,2.788s,PASSED
"click(findTestObject(""Object Repository/Fitur Register/svg_CHECKOUT  (0.00)_menuUser""))",Chrome 121.0.0.0,,,07-02-2024 15:45:22,07-02-2024 15:45:27,5.653s,PASSED
"click(findTestObject(""Object Repository/Fitur Register/a_CREATE NEW ACCOUNT""))",Chrome 121.0.0.0,,,07-02-2024 15:45:27,07-02-2024 15:45:28,0.705s,PASSED
"setText(findTestObject(""Object Repository/Fitur Register/input__usernameRegisterPage""), username)",Chrome 121.0.0.0,,,07-02-2024 15:45:28,07-02-2024 15:45:30,1.572s,PASSED
"click(findTestObject(""Object Repository/Fitur Register/label_Email""))",Chrome 121.0.0.0,,,07-02-2024 15:45:30,07-02-2024 15:45:30,0.499s,PASSED
"setText(findTestObject(""Object Repository/Fitur Register/input__emailRegisterPage""), email)",Chrome 121.0.0.0,,,07-02-2024 15:45:30,07-02-2024 15:45:31,1.171s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Fitur Register/input__passwordRegisterPage""), password)",Chrome 121.0.0.0,,,07-02-2024 15:45:31,07-02-2024 15:45:32,0.162s,FAILED
,,,,,,,
Test Cases/2 Create Account,Chrome 121.0.0.0,Pembuatan account user baru,,07-02-2024 15:46:15,07-02-2024 15:46:27,11.927s,FAILED
"openBrowser("""")",Chrome 121.0.0.0,,,07-02-2024 15:46:15,07-02-2024 15:46:16,0.882s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/"")",Chrome 121.0.0.0,,,07-02-2024 15:46:16,07-02-2024 15:46:18,2.786s,PASSED
"click(findTestObject(""Object Repository/Fitur Register/svg_CHECKOUT  (0.00)_menuUser""))",Chrome 121.0.0.0,,,07-02-2024 15:46:18,07-02-2024 15:46:22,3.762s,PASSED
"click(findTestObject(""Object Repository/Fitur Register/a_CREATE NEW ACCOUNT""))",Chrome 121.0.0.0,,,07-02-2024 15:46:22,07-02-2024 15:46:23,0.686s,PASSED
"setText(findTestObject(""Object Repository/Fitur Register/input__usernameRegisterPage""), username)",Chrome 121.0.0.0,,,07-02-2024 15:46:23,07-02-2024 15:46:25,1.853s,PASSED
"click(findTestObject(""Object Repository/Fitur Register/label_Email""))",Chrome 121.0.0.0,,,07-02-2024 15:46:25,07-02-2024 15:46:25,0.562s,PASSED
"setText(findTestObject(""Object Repository/Fitur Register/input__emailRegisterPage""), email)",Chrome 121.0.0.0,,,07-02-2024 15:46:25,07-02-2024 15:46:27,1.210s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Fitur Register/input__passwordRegisterPage""), password)",Chrome 121.0.0.0,,,07-02-2024 15:46:27,07-02-2024 15:46:27,0.167s,FAILED
