Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
4 tes filter,Chrome 121.0.0.0,,,09-02-2024 16:49:27,09-02-2024 16:50:52,1m - 25.277s,PASSED
,,,,,,,
Test Cases/1. Positive test case/5 Filter item (switch-case),Chrome 121.0.0.0,pengujian menambahkan 1 item kedalam chart,,09-02-2024 16:49:27,09-02-2024 16:49:44,16.727s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,09-02-2024 16:49:27,09-02-2024 16:49:29,1.720s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/"")",Chrome 121.0.0.0,,,09-02-2024 16:49:29,09-02-2024 16:49:31,2.481s,PASSED
"click(findTestObject(""Object Repository/Fitur Filter 2/div_SPEAKERS                        Shop Now""))",Chrome 121.0.0.0,,,09-02-2024 16:49:31,09-02-2024 16:49:35,4.014s,PASSED
filterType = filtername,Chrome 121.0.0.0,,,09-02-2024 16:49:35,09-02-2024 16:49:35,0.002s,PASSED
switch (filterType),Chrome 121.0.0.0,,,09-02-2024 16:49:35,09-02-2024 16:49:38,2.906s,PASSED
delay(5),Chrome 121.0.0.0,,,09-02-2024 16:49:38,09-02-2024 16:49:43,5.029s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,09-02-2024 16:49:43,09-02-2024 16:49:44,0.251s,PASSED
,,,,,,,
Test Cases/1. Positive test case/5 Filter item (switch-case),Chrome 121.0.0.0,pengujian menambahkan 1 item kedalam chart,,09-02-2024 16:49:44,09-02-2024 16:49:59,14.935s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,09-02-2024 16:49:44,09-02-2024 16:49:44,0.653s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/"")",Chrome 121.0.0.0,,,09-02-2024 16:49:44,09-02-2024 16:49:47,2.552s,PASSED
"click(findTestObject(""Object Repository/Fitur Filter 2/div_SPEAKERS                        Shop Now""))",Chrome 121.0.0.0,,,09-02-2024 16:49:47,09-02-2024 16:49:51,3.948s,PASSED
filterType = filtername,Chrome 121.0.0.0,,,09-02-2024 16:49:51,09-02-2024 16:49:51,0.001s,PASSED
switch (filterType),Chrome 121.0.0.0,,,09-02-2024 16:49:51,09-02-2024 16:49:53,2.558s,PASSED
delay(5),Chrome 121.0.0.0,,,09-02-2024 16:49:53,09-02-2024 16:49:58,5.013s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,09-02-2024 16:49:58,09-02-2024 16:49:59,0.189s,PASSED
,,,,,,,
Test Cases/1. Positive test case/5 Filter item (switch-case),Chrome 121.0.0.0,pengujian menambahkan 1 item kedalam chart,,09-02-2024 16:49:59,09-02-2024 16:50:33,34.071s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,09-02-2024 16:49:59,09-02-2024 16:49:59,0.715s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/"")",Chrome 121.0.0.0,,,09-02-2024 16:49:59,09-02-2024 16:50:06,6.727s,PASSED
"click(findTestObject(""Object Repository/Fitur Filter 2/div_SPEAKERS                        Shop Now""))",Chrome 121.0.0.0,,,09-02-2024 16:50:06,09-02-2024 16:50:11,4.534s,PASSED
filterType = filtername,Chrome 121.0.0.0,,,09-02-2024 16:50:11,09-02-2024 16:50:11,0.001s,PASSED
switch (filterType),Chrome 121.0.0.0,,,09-02-2024 16:50:11,09-02-2024 16:50:27,16.875s,PASSED
delay(5),Chrome 121.0.0.0,,,09-02-2024 16:50:27,09-02-2024 16:50:32,5.008s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,09-02-2024 16:50:32,09-02-2024 16:50:33,0.188s,PASSED
,,,,,,,
Test Cases/1. Positive test case/5 Filter item (switch-case),Chrome 121.0.0.0,pengujian menambahkan 1 item kedalam chart,,09-02-2024 16:50:33,09-02-2024 16:50:52,19.311s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,09-02-2024 16:50:33,09-02-2024 16:50:34,0.821s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/"")",Chrome 121.0.0.0,,,09-02-2024 16:50:34,09-02-2024 16:50:36,2.452s,PASSED
"click(findTestObject(""Object Repository/Fitur Filter 2/div_SPEAKERS                        Shop Now""))",Chrome 121.0.0.0,,,09-02-2024 16:50:36,09-02-2024 16:50:40,4.130s,PASSED
filterType = filtername,Chrome 121.0.0.0,,,09-02-2024 16:50:40,09-02-2024 16:50:40,0.000s,PASSED
switch (filterType),Chrome 121.0.0.0,,,09-02-2024 16:50:40,09-02-2024 16:50:47,6.655s,PASSED
delay(5),Chrome 121.0.0.0,,,09-02-2024 16:50:47,09-02-2024 16:50:52,5.016s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,09-02-2024 16:50:52,09-02-2024 16:50:52,0.220s,PASSED
